Year,UK_Rain,England_Rain,Northern_Ireland_Rain,Scotland_Rain,Wales_Rain,UK_Mean_Temp,England_Mean_Temp,Norther_Ireland_Mean_Temp,Scotland_Mean_Temp,Wales_Mean_Temp,UK_Max_Temp,England_Max_Temp,Northern_Ireland_Max_Temp,Scotland_Max_Temp,Wales_Max_Temp,UK_Min_Temp,England_Min_Temp,Northern_Ireland_Min_Temp,Scotland_Min_Temp,Wales_Min_Temp
1901,995.77,744.59,1048.67,1378.17,1257.65,8.07,8.71,8.15,6.9,8.48,11.89,12.69,11.84,10.44,12.08,4.28,4.78,4.51,3.38,4.91
1902,924.3,711.2,969.95,1245.11,1179.5,7.78,8.5,7.98,6.43,8.38,11.4,12.21,11.48,9.91,11.7,4.21,4.82,4.53,2.99,5.11
1903,1389.74,1080.2,1276.7,1871.14,1764.35,7.98,8.75,8.03,6.57,8.46,11.48,12.36,11.41,9.9,11.69,4.53,5.19,4.7,3.27,5.28
1904,992.45,755.67,1021.27,1367.46,1249.29,8.03,8.77,8.04,6.7,8.47,11.69,12.58,11.54,10.1,11.89,4.41,5,4.58,3.33,5.09
1905,970.7,701.46,942.63,1436.59,1131.36,8.15,8.82,8.29,6.9,8.64,11.77,12.57,11.78,10.28,12.06,4.59,5.13,4.85,3.57,5.27
1906,1133.77,850.74,1051.66,1590.33,1404.99,8.21,9,8.25,6.77,8.65,11.95,12.83,11.95,10.33,12.22,4.5,5.2,4.61,3.24,5.12
1907,1126.33,853.31,1114.46,1562.15,1359.51,7.87,8.6,7.93,6.54,8.3,11.44,12.3,11.38,9.85,11.69,4.35,4.95,4.52,3.27,4.95
1908,1032.2,754.19,1073.6,1467.21,1294.71,8.37,9.01,8.59,7.13,8.99,11.97,12.75,12.07,10.45,12.44,4.81,5.31,5.15,3.84,5.59
1909,1128.51,882.21,1057.85,1516.39,1373.82,7.68,8.38,7.84,6.35,8.24,11.27,12.11,11.33,9.69,11.68,4.13,4.7,4.4,3.05,4.85
1910,1169.18,929.16,1133.99,1500.97,1595,8.15,8.93,8.14,6.76,8.54,11.66,12.54,11.56,10.07,11.86,4.69,5.37,4.76,3.49,5.26
1911,1052.56,784.39,955.76,1500.27,1292.89,8.76,9.54,8.7,7.39,9.11,12.56,13.47,12.39,10.92,12.75,5.01,5.66,5.06,3.9,5.51
1912,1252.23,1021.67,1107.59,1606.39,1601.88,8.16,8.95,8.16,6.73,8.63,11.71,12.64,11.57,10.01,12.02,4.65,5.3,4.78,3.48,5.3
1913,1034.8,805,1061.24,1354.59,1405.34,8.54,9.31,8.48,7.17,8.93,12.07,12.97,11.89,10.44,12.31,5.05,5.69,5.12,3.94,5.62
1914,1157.03,901.57,1110.31,1546.23,1494.08,8.68,9.4,8.71,7.36,9.1,12.37,13.23,12.32,10.79,12.67,5.03,5.62,5.15,3.97,5.58
1915,1144.53,931.47,1047.63,1462.26,1460.55,7.81,8.58,7.83,6.42,8.28,11.54,12.47,11.42,9.81,11.9,4.13,4.74,4.3,3.06,4.71
1916,1264.9,958.66,1270.27,1766.74,1455.13,8.19,8.96,8.23,6.8,8.62,11.72,12.64,11.61,10.02,12,4.71,5.32,4.9,3.63,5.28
1917,1077.18,822.62,1145.6,1478.51,1317.23,7.61,8.28,7.74,6.37,8.06,11.25,12.07,11.22,9.71,11.53,4.01,4.52,4.29,3.06,4.63
1918,1184.53,911.15,1158.96,1601.19,1531.71,8.36,9.14,8.45,6.93,8.87,12.01,12.95,11.97,10.28,12.37,4.76,5.38,4.98,3.62,5.42
1919,1110.78,887.76,1014.17,1461.16,1399.86,7.56,8.29,7.66,6.2,8.1,11.21,12.08,11.22,9.54,11.65,3.96,4.54,4.15,2.89,4.58
1920,1184.15,895.53,1214.43,1599.67,1588.77,8.51,9.25,8.53,7.18,8.96,12.09,12.99,11.95,10.45,12.35,4.99,5.56,5.16,3.95,5.63
1921,917.15,601.24,1019.25,1450.71,1046.94,9.25,10.05,9.38,7.73,9.86,13.13,14.14,13.06,11.21,13.61,5.43,6.01,5.75,4.3,6.17
1922,1093.6,884.4,1006.01,1417.66,1380.64,7.74,8.43,7.87,6.45,8.26,11.3,12.13,11.31,9.76,11.63,4.22,4.78,4.47,3.17,4.93
1923,1268.22,940.63,1300.34,1775.56,1619.54,8.04,8.82,8.11,6.6,8.56,11.52,12.44,11.44,9.83,11.85,4.6,5.24,4.82,3.42,5.32
1924,1235.9,993.92,1273.47,1559.86,1670.47,8.19,8.83,8.31,7,8.67,11.62,12.38,11.64,10.23,11.89,4.79,5.32,5.04,3.8,5.5
1925,1127.37,890.78,1056.89,1482.77,1457.37,8.1,8.82,8.12,6.78,8.53,11.7,12.56,11.6,10.12,11.98,4.54,5.14,4.69,3.47,5.13
1926,1141.91,850.73,1124.96,1626.53,1342.4,8.66,9.41,8.73,7.3,9.12,12.24,13.08,12.21,10.69,12.52,5.14,5.78,5.29,3.96,5.78
1927,1286.55,1029.81,1199.45,1684.98,1591.49,8.13,8.89,8.25,6.71,8.69,11.62,12.45,11.68,10.08,11.96,4.69,5.38,4.86,3.38,5.47
1928,1291.56,961.73,1362.31,1801.76,1603.93,8.38,9.21,8.42,6.85,8.95,12.05,13.01,11.98,10.28,12.43,4.76,5.46,4.91,3.46,5.52
1929,1096.88,829.93,1142.21,1485.17,1479.59,8.08,8.75,8.27,6.81,8.63,11.82,12.68,11.84,10.21,12.22,4.38,4.86,4.75,3.46,5.1
1930,1239.81,974.35,1245.59,1610.87,1660.84,8.3,9.11,8.2,6.9,8.65,11.8,12.71,11.58,10.2,11.94,4.85,5.55,4.85,3.64,5.41
1931,1166.38,914.95,1204.24,1530.14,1491.88,8.07,8.76,8.23,6.78,8.55,11.43,12.26,11.41,9.92,11.69,4.75,5.31,5.11,3.68,5.46
1932,1147.67,854.9,1079.26,1621.48,1422.05,8.48,9.17,8.6,7.21,8.88,11.92,12.72,11.9,10.47,12.1,5.08,5.66,5.34,4,5.72
1933,895.06,683.55,839.25,1251.57,1072.12,8.82,9.41,8.97,7.74,9.28,12.44,13.22,12.38,11.01,12.76,5.25,5.64,5.62,4.51,5.84
1934,1093.37,782.1,1164.45,1598.1,1315.1,8.98,9.73,8.98,7.64,9.35,12.51,13.44,12.28,10.85,12.71,5.49,6.07,5.72,4.47,6.03
1935,1219.01,960.2,1080.85,1639.71,1521.71,8.51,9.27,8.56,7.15,8.94,12,12.91,11.86,10.34,12.26,5.08,5.68,5.3,3.99,5.66
1936,1116.29,898.94,1154.62,1406.35,1480.98,8.41,9.13,8.46,7.12,8.82,11.86,12.7,11.75,10.35,12.09,5,5.59,5.21,3.93,5.6
1937,1096.3,912.85,1087.81,1360.5,1364.85,8.39,9.17,8.38,7,8.8,11.82,12.76,11.62,10.15,12.09,5,5.62,5.17,3.89,5.56
1938,1211.6,846.73,1241.39,1826.67,1424.72,8.89,9.58,8.93,7.63,9.3,12.39,13.24,12.24,10.86,12.64,5.43,5.96,5.68,4.45,6.01
1939,1143.55,938.91,1104.66,1427.76,1494.44,8.66,9.37,8.69,7.38,9.1,12.09,12.94,11.95,10.56,12.37,5.27,5.84,5.47,4.24,5.87
1940,1110.47,856.5,1274.75,1459.05,1451.06,8.12,8.75,8.38,6.87,8.81,11.77,12.58,11.82,10.18,12.34,4.51,4.96,4.98,3.6,5.32
1941,1016.47,818.86,1026.33,1306.86,1253.59,7.98,8.67,8.15,6.69,8.53,11.53,12.36,11.54,9.99,11.92,4.47,5.02,4.79,3.43,5.18
1942,1075.84,779.78,1235.16,1528.67,1359.14,8.05,8.7,8.32,6.8,8.62,11.69,12.49,11.81,10.17,12.11,4.45,4.96,4.86,3.47,5.17
1943,1089.55,773.35,1155.59,1587.36,1395.78,8.87,9.57,8.97,7.61,9.28,12.62,13.47,12.53,11.09,12.84,5.17,5.71,5.46,4.18,5.78
1944,1143.31,864.27,1175.35,1581.79,1385.57,8.53,9.24,8.73,7.2,9.04,12.19,13.02,12.28,10.63,12.53,4.92,5.51,5.24,3.81,5.59
1945,1072.96,788.08,1073.7,1530.16,1310.16,9.18,9.85,9.34,7.95,9.63,12.91,13.72,12.89,11.43,13.16,5.51,6.03,5.84,4.52,6.15
1946,1195.25,976.77,1188.54,1491.45,1605.65,8.37,9.01,8.47,7.21,8.81,12,12.74,11.98,10.68,12.21,4.78,5.33,4.99,3.78,5.45
1947,1030.08,769.14,1178.78,1395.48,1356.95,8.35,9.14,8.37,6.94,8.78,12.07,13.03,11.85,10.38,12.28,4.67,5.3,4.94,3.53,5.32
1948,1243.7,889.79,1270.82,1813.63,1526.14,8.84,9.59,8.93,7.46,9.33,12.56,13.47,12.46,10.9,12.84,5.17,5.77,5.44,4.05,5.87
1949,1075.61,742.07,1099.54,1652.74,1231.08,9.33,10.09,9.41,7.91,9.87,13.23,14.15,13.12,11.53,13.56,5.48,6.07,5.75,4.34,6.23
1950,1237.67,938.7,1280.54,1694.58,1599.78,8.31,9.06,8.32,6.97,8.73,11.94,12.82,11.8,10.39,12.11,4.73,5.35,4.88,3.6,5.4
1951,1261.87,1015.8,1158.51,1630.74,1634.81,8.09,8.85,8.1,6.73,8.52,11.71,12.61,11.57,10.1,11.89,4.52,5.14,4.68,3.4,5.18
1952,1046.66,824.69,974.38,1377.94,1415.59,8,8.74,8.14,6.62,8.51,11.66,12.56,11.64,10,11.95,4.38,4.97,4.68,3.28,5.11
1953,961.64,697.97,885.33,1414.51,1164.97,8.92,9.5,9.03,7.91,9.21,12.6,13.34,12.56,11.31,12.69,5.28,5.71,5.54,4.55,5.79
